Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2006,KABH-CA,UNIVISION PROGRAMMING SERVICE*,"PORTLAND, OR",3,ANALOG,ULTRACHAMOS,CORE,NETWORK,SAT & SUN 8:30AM,27,0,30,9,12,"Ultrachamos is an educational, yet entertaining magazine type program for older children. The program teaches about a diverse number of topics. The children on the program conduct interesting experiments and demonstrate many of the basic principles of science. The show also teaches about learning to play a musical instrument and how those instruments work. Other show topics include learning about animals and their environments as well as sports and team work.",99,N/A,N/A,N/A
2006,KABH-CA,UNIVISION PROGRAMMING SERVICE*,"PORTLAND, OR",3,ANALOG,"AMY, LA NINA DE LA MOCHILA AZUL",CORE,NETWORK,SAT & SUN 9AM,27,0,60,7,12,"A significant purpose and key educational objective of this program is to illustrate how determination, friendship, and love can overcome life’s obstacles. Amy, a beautiful baby girl drifts ashore after a storm at sea and is found by captain Matias and his wife Perla. This very loving family raise Amy to become a compassionate and loving girl. Unfortunately, their lives change, when Perla falls into the sea and loses her life during a storm. Distraught by the loss of his wife, Matias refuses to go near the sea, and quits his job as a fisherman. Matias and Amy face many hardships together, but Amy makes the best of the situations that arise and is happy as long as she has her father’s love. With Amy, Matias, and their many friends, viewers learn about the importance of family, friendship, faith, and perseverance.",99,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,THE EMPEROR'S NEW SCHOOL,CORE,NETWORK,SAT 9AM,10,3,30,8,11,"Kuzco, a youth who is heir to the throne of a mythical Andean country, must graduate from Kuzco Academy before he can become Emperor of his land. He lives with a peasant foster family and faces the intellectual, physical and social challenges that all teens face, while also preparing to rule justly and well. Sometimes Kuzco wonders whether being Emperor for the rest of his days will be a pleasure or a trap. Kuzco thwarts attempts by the nefarious Yzma and her henchman, Kronk, to stop him from doing well in school. If Kuzco were to fail at his classwork, Yzma would become Empress. Kuzco struggles to complete his assignments and stay on track. Only if he remains steadfast, studies hard, learns from his mistakes, and can relate to citizens at all levels of society, will he ascend the throne. His best friend Malina, an excellent student, attempts to help Kuzco stay out of trouble and achieve his goals. Series episodes explore issues such as coping with peer pressure, respecting authority, taking responsibility, adhering to family and school rules, accepting differences, building self-esteem and trust.",3,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,THE REPLACEMENTS,CORE,NETWORK,SAT 9:30AM,10,3,30,8,12,"Riley and Todd, siblings who were raised in an orphanage after the death of their parents, long to be adopted. They find a comic book advertisement for Fleemco, an agency that will provide “Replacement” parents or adults to substitute for certain individuals. Brother and sister decide to send in the $1.98 fee in hopes of obtaining parents to replace their lost ones. They acquire an unorthodox pair of Replacement parents, Dick Daring and Agent K. Dick is a former daredevil stuntman and Agent K is a British super-spy. Neither seems to know much about parenting, although their intentions are good. Agent K’s highly intelligent automobile, C.A.R., her former spy partner, also joins the household. Their attempts to forge a family and adjust to a new school are both touching and comedic. Riley and Todd discover that they can call Fleemco to request replacement of any adult whom they dislike, who is overly strict, or who is merely uninteresting. The temporary Replacements for teachers, neighbors or other community figures never prove to be as exciting or fun as the siblings had hoped, and are often immature and obnoxious. As things go awry, Riley and Todd learn that they need adult leadership, discipline, role models, order and structure. By the end of each story they are eager to return the Replacement and reinstate the original adult. Stories revolve around issues such as cooperating with household/family rules, taking responsibility, fairness, building self-esteem, and trust.",3,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,THAT'S SO RAVEN,CORE,NETWORK,SAT 10AM,10,3,30,10,13,"Raven Baxter, who has inherited her grandmother’s gift of clairvoyance, is a normal, happy young woman. Nonetheless, Raven sometimes worries that she is a freak because of her clairvoyant abilities. She has a ten-year old brother, Cory. They are typical siblings, with the tension and rivalry that most siblings experience. Raven and Cory's mother is in law school, and their father owns a small restaurant. Raven attends an ethnically diverse San Francisco public high school. She is responsible for the after-school safety and activities of Cory. Her closest friends, Chelsea and Eddie, are fiercely committed to environmental issues and sports, respectively. Raven dreams of a career in fashion design, and the new season's episodes revolve around her internship with an eccentric fashion designer. Raven’s parents and clos friends know about her “visions.” These premonitions often prompt her to intervene before trouble occurs. Sometimes her interventions backfire, and at other times the foreseen events occur, bringing embarrassment or sadness. She learns valuable lessons from her transgressions. “Visions” set up issues that the Core episodes of this series explore, among which are sibling rivalry, popularity, loyalty, self-acceptance, jealousy, dealing with authority, and consequences of lying or cheating.",3,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,THAT'S SO RAVEN,CORE,NETWORK,SAT 10:30AM,10,3,30,10,13,"Raven Baxter, who has inherited her grandmother’s gift of clairvoyance, is a normal, happy young woman. Nonetheless, Raven sometimes worries that she is a freak because of her clairvoyant abilities. She has a ten-year old brother, Cory. They are typical siblings, with the tension and rivalry that most siblings experience. Raven and Cory's mother is in law school, and their father owns a small restaurant. Raven attends an ethnically diverse San Francisco public high school. She is responsible for the after-school safety and activities of Cory. Her closest friends, Chelsea and Eddie, are fiercely committed to environmental issues and sports, respectively. Raven dreams of a career in fashion design, and the new season's episodes revolve around her internship with an eccentric fashion designer. Raven’s parents and clos friends know about her “visions.” These premonitions often prompt her to intervene before trouble occurs. Sometimes her interventions backfire, and at other times the foreseen events occur, bringing embarrassment or sadness. She learns valuable lessons from her transgressions. “Visions” set up issues that the Core episodes of this series explore, among which are sibling rivalry, popularity, loyalty, self-acceptance, jealousy, dealing with authority, and consequences of lying or cheating.",3,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,HANNAH MONTANA,CORE,NETWORK,SAT 11AM,10,3,30,10,13,"Thirteen-year-old Mylie Stewart, recently moved from Tennessee to Malibu, CA, leads a double life. By day she attends public high school, along with her older brother Jackson, but by night she is emerging pop star “Hannah Montana”. Except for her family, only her two best friends, Oliver and Lilly, and her bodyguard know about Mylie’s career as a singer, and she strives to maintain privacy, fearing that her new classmates would treat her very differently if they knew of her stage identity. Mylie wears blonde wigs while performing, and manages to escape being recognized. Miley's mother died three years before the story begins, so her dad is now a single parent. He has just begun dating again. Miley misses her mother very much. One of the songs that she writes and performs is about the pain of growing up without her mother. Unlike her brother, Mylie is a dedicated student. At school, her enemies are Amber and Ashley, two girls who constantly bully Miley. Oliver and Lilly are fiercely protective of their friend. Miley has ordinary teenage insecurities, but remains true to herself, despite the allure of concert life, the limos, parties, and glamorous clothes. This is in no small part due to the solid values that her father, Mylie’s manager (Billy Rae Cyrus), has imparted. Tension and sibling rivalry do occur, especially when Jackson feels that his talented sister is getting all the attention. Stories examine social issues such as peer pressure, integrity, family rules, jealousy, friendship, loyalty, and issues related to bereavement.",3,N/A,N/A,N/A
2006,KATU,ABC,"PORTLAND, OR",3,ANALOG,THE SUITE LIFE OF ZACK AND CODY,CORE,NETWORK,SAT 11:30AM,10,3,30,11,13,"Those episodes of “The Suite Life of Zack and Cody” that air on ABC as Core Programming deliver life lessons tailored for the older child and ""tween"" audience. Stories take place in a luxury hotel in Boston, where twelve-year-old identical twins Zack and Cody live with their divorced mom, a lounge singer for the Tipton Hotel. The boys attend a local public middle school. One of the twins is polite and shy and excels in academics, while the other, athletic and extroverted, barely scrapes by in school, due to lack of effort. He often instigates wacky plans for outwitting hotel authorities, caregivers, and their mother. The boy's mother dates and would like to remarry. Their father is a professional rock musician who is on the road much of the year, but stays in touch with his sons. This sets up occasional parental conflicts about discipline and expectations. Parallel stories involve two teenage girls: heiress London Tipton, whose father owns the hotel, and Maddie, a girl who works after school at the hotel snack bar. Unlike London, Maddie attends a parochial girls’ school and comes from a working class Boston family. Series episodes explore sibling rivalry, conflicts with parents, divorce, household and hotel rules, family budget limitations, responsibility, self-esteem, and peer pressure. The November 4, 2006, November 25, 2006 and December 2, 2006 episodes were preempted by live coverage of ABC Sports - College Football.",3,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,3-2-1 PENGUINS! AND LARRYBOY STORIES,CORE,NETWORK,SAT 9AM,12,1,30,4,8,"3-2-1 PENGUINS! and LARRYBOY STORIES draws upon characters from two stories -- using both long- and short-form material involving these characters -- to provide socio-emotional messages to children. 3-2-1 PENGUINS! features two children – Jason and Michelle – whose vacation at their grandmother’s cottage ends up being more adventure than they expect when their toy spaceship with four toy penguins comes to life. The children are sucked into the spaceship, where they meet the now live penguins and journey through space to solve an inter-galactic disaster threatening the penguins and their friends. Each story begins with a problem and ends after the children have learned an important socio-emotional message through their adventure with the penguins. LARRYBOY STORIES is about a young cucumber-janitor named Larry from the Daily Bumble who assumes a superhero persona to fight crimes and save lives, bringing peace and safety to the small town of Bumblyburg. In doing so, Larry takes us through his adventures where he and his viewers learn core values of honesty, friendship, respect for others, forgiveness, and love for all through socio-emotional messages embedded within the story.",1,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,BABAR ,CORE,NETWORK,SAT 9:30AM,13,0,30,4,8,"BABAR is a young elephant who returns to the jungle where he builds the city of Celesteville and is crowned King of the Elephants. A dedicated ruler and family-elephant, Babar experiences many challenges as he journeys through life, and learns to rise above them through strength and optimism. Each episode begins with a look into Babar’s present life, primarily in his role as a father who teaches his children the value of people, things and relationships through his own experience from the jungle to the city. Each episode in the show carries with it a social-emotional message that is established at the end of Babar’s story.",99,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,JANE AND THE DRAGON,CORE,NETWORK,SAT 10AM,13,0,30,4,8,"JANE AND THE DRAGON is a coming of age story about a middle-class, medieval girl who lives in the Royal Court with her family. As an only child, Jane is raised to be a Lady-in-Waiting but through her determination and a stroke of luck, she ends up being trained as a Knight in the King’s Guard. Accompanied by her best friend, a giant green Dragon that lives in her backyard, Jane experiences a series of adventures that test her character and her skills as a young knight in a castle full of friends and foes. Each episode in the show takes us through the problems and challenges Jane encounters and the process she goes through to find the solutions for them.",99,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,JACOB TWO-TWO,CORE,NETWORK,SAT 10:30AM,13,0,30,4,8,"JACOB TWO-TWO is a very little boy with a very big heart. As the youngest member of a large family, Jacob has to say things twice so he can be heard. He looks up to his siblings, but tends to be ignored or bullied by them when he tries to partake in their activities. Still, there are those who notice him when he inadvertently lands himself in adventures that involve mysterious neighbors, international spies, and villains that come in all shapes and sizes. Often accompanied by his closest pals, Buford and Renee, Jacob Two-Two finds innovative ways to get in and out of hot water as he tumbles through a series of exciting adventures with honesty, integrity and a whole lot of determination.",99,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,VEGGIE TALES,CORE,NETWORK,SAT 3PM,12,1,30,4,8,"VEGGIETALES, narrated by animated veggies, Bob the Tomato and Larry the Cucumber, teach life lessons through wit and humor. Each episode contains one or two short animated stories that illustrate core values to children in an entertaining way. Stories are interrupted with silly songs, usually sung by Larry the Cucumber, that contain whacky lyrics in a catchy tune. Each episode ends with Bob and Larry reinforcing the lesson learned through the stories.",1,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,DRAGON,CORE,NETWORK,SAT 3:30PM,11,2,30,4,8,"DRAGON is a cheerful, lovable and insatiably curious blue dragon who lives in a colorful little house and welcomes all his friends and anyone else who needs comfort or advice. Every day Dragon faces a new situation that needs to be solved, and he does it in his unique Dragon-like way. If he can’t get it right the first time, he keeps trying until he does. With each story, we find a new way to learn simple life skills through Dragon and his friends, Cat, Ostrich, Beaver, Alligator, and Mail Mouse.",2,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,WEATHER PLUS U (DIGITAL MULTICAST ONLY),NON-CORE,NETWORK,MON 10AM,13,0,30,13,16,"Weather Plus U., a program available on the Station’s digital multicast “NBC Weather Plus” channel, offers teenagers a closer look at the weather and earth sciences and how they can and do affect their lives. Each episode is an entertaining combination of taped vignettes and timely segments relating to current weather events, with targeted topics geared toward teens aged 13 and older. The segments include regular features like “Weather in the News,” “Weather Plus on Location,” “Weather Plus Experiments,” “Weather Plus in the Classroom” and “Weather Plus Interacts.” Together, the segments highlight how and why the weather changes and how forecasters try to predict the weather, the nature and scope of significant weather events, and how teens can better understand or react to weather, both in their hometown and around the world.",99,N/A,N/A,N/A
2006,KGW,NBC,"PORTLAND, OR",3,ANALOG,WEATHER PLUS U (DIGITAL MULTICAST ONLY),NON-CORE,NETWORK,MON 12PM,13,0,30,13,16,"Weather Plus U., a program available on the Station’s digital multicast “NBC Weather Plus” channel, offers teenagers a closer look at the weather and earth sciences and how they can and do affect their lives. Each episode is an entertaining combination of taped vignettes and timely segments relating to current weather events, with targeted topics geared toward teens aged 13 and older. The segments include regular features like “Weather in the News,” “Weather Plus on Location,” “Weather Plus Experiments,” “Weather Plus in the Classroom” and “Weather Plus Interacts.” Together, the segments highlight how and why the weather changes and how forecasters try to predict the weather, the nature and scope of significant weather events, and how teens can better understand or react to weather, both in their hometown and around the world.",99,N/A,N/A,N/A
